contrat_id,prime_annuelle,montant_sinistre,client_id,type_contrat,date_effet,date_echeance
CTR-000001,1200.00,0.00,CLI-00001,Auto,2024-01-01,2025-01-01
CTR-000002,850.50,,CLI-00002,Habitation,2024-02-15,2025-02-15
CTR-000003,3500.00,12000.00,CLI-00003,Vie,2024-03-01,2025-03-01
CTR-000004,-200.00,500.00,CLI-00004,Auto,2024-01-15,2025-01-15
CTR-000005,2100.00,0.00,CLI-00005,Habitation,2024-04-01,2025-04-01
CTR-000002,850.50,,CLI-00002,Habitation,2024-02-15,2025-02-15
CTR-000006,980.00,750000.00,CLI-00006,Auto,2024-05-01,2025-05-01
CTR-000007,,0.00,CLI-00007,Vie,2024-06-01,2025-06-01
CTR-000008,1500.00,2500.00,,Habitation,2024-07-01,2025-07-01
CTR-000009,1800.00,0.00,CLI-00009,auto,2024-08-01,2025-08-01
CTR-000010,2025-01-01,0.00,CLI-00010,Auto,2024-09-01,2025-09-01
,1100.00,300.00,CLI-00011,Vie,2024-10-01,2025-10-01
CTR-000012,4500.00,8000.00,CLI-00012,Habitation,2025-01-01,2024-01-01
CTR-000013,650.00,0.00,CLI-00013,Auto,2024-11-01,2025-11-01
CTR-000014,2200.00,,CLI-00014,Vie,2024-12-01,2025-12-01
CTR-000015,75000.00,0.00,CLI-00015,Habitation,2024-01-15,2025-01-15